deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
NoisyBeamformingBeforeProcessing.wav,0.8631253,1.5667852,2.6739578,1.4987624,1.258497,NISQAv2
noNoiseMicArrayAfterProcessing.wav,1.1039331,2.177669,3.0947866,2.313812,1.3519161,NISQAv2
NoisyBeamformingAfterProcessing.wav,1.8891306,1.7394775,3.980254,3.0815327,2.4324663,NISQAv2
NoisyMicArrayBeforeProcessing.wav,1.0795549,1.6162585,2.5918615,1.4325051,1.3489852,NISQAv2
HighNoiseBeamformingAfterProcessing.wav,1.5202984,1.7378932,3.570537,2.595321,2.4822657,NISQAv2
HighNoiseSampleAudio(RAW).wav,0.9660861,1.5555965,2.8825219,1.4611665,1.4500089,NISQAv2
HighNoiseMicArrayBeforeProcessing.wav,1.3926398,1.6665722,3.7658331,1.9440191,2.969827,NISQAv2
HighNoiseBeamFormingBeforeProcessing.wav,0.892643,1.5930159,2.82252,1.3930346,1.3385004,NISQAv2
noNoiseMicArrayBeforeProcessing.wav,1.4242778,3.0169132,3.7219765,2.5626714,1.3981965,NISQAv2
noNoiseBeamformingAfterProcessing.wav,2.4951322,2.0683012,3.6137505,3.121225,2.7396352,NISQAv2
noNoiseBeamFormingBeforeProcessing.wav,1.3428594,2.5406697,3.5875208,2.5725012,1.2569578,NISQAv2
NoisySampleAudio(RAW).wav,0.95827085,1.5477619,2.7826512,1.5542523,1.290838,NISQAv2
HighNoiseMicArrayAfterProcessing.wav,0.76489186,1.4205812,2.3774722,1.2511065,1.4914213,NISQAv2
NoisyMicArrayAfterProcessing.wav,0.7700081,1.4716021,2.4739118,1.2219555,1.2920947,NISQAv2
noNoiseSampleAudio(RAW).wav,1.314154,2.4310803,3.5280774,2.4535275,1.2649748,NISQAv2
